,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
0,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,70,,A1,4445 PARK AVENUE,,10457.0,1.0,0.0,1.0,1694.0,1497.0,1899.0,1,A1,388500,2019-07-23 00:00:00,40.8538032,-73.8963422
1,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVENUE,,10458.0,1.0,0.0,1.0,1095.0,1260.0,1910.0,1,A9,110000,2019-12-06 00:00:00,40.8560478,-73.892731
2,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3043,55,,A1,1948 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2356.0,2047.0,1901.0,1,A1,470000,2019-03-08 00:00:00,40.8476551,-73.8964313
3,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,39,,A1,2075 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,1986.0,1344.0,1899.0,1,A1,420000,2019-05-24 00:00:00,40.8507117,-73.8952952
4,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,137,,B1,496 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,0,2019-06-12 00:00:00,40.8382016,-73.9018886
5,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,149,,B1,523 EAST 171 STREET,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,505000,2019-11-14 00:00:00,40.8373783,-73.9020127
6,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,152,,B1,517 EAST 171 STREET,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,630000,2019-08-20 00:00:00,40.8374553,-73.9022114
7,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,119,,B1,1497 CROTONA PLACE,,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1,B1,535000,2019-05-08 00:00:00,40.8367521,-73.9014896
8,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2361.0,2394.0,1995.0,1,B1,514216,2019-02-25 00:00:00,40.8379392,-73.8999736
9,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457.0,2.0,0.0,2.0,2000.0,2364.0,1899.0,1,B2,365000,2019-11-21 00:00:00,40.8488052,-73.8995416
10,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,61,,B3,4467 PARK AVENUE,,10457.0,2.0,0.0,2.0,1556.0,1494.0,1899.0,1,B3,310000,2019-04-24 00:00:00,40.8543162,-73.8960342
11,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036,140,,B1,2063 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,3346.0,2308.0,1997.0,1,B1,640000,2019-02-07 00:00:00,40.8509322,-73.8962889
12,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457.0,2.0,0.0,2.0,1826.0,1296.0,1899.0,1,B3,1,2019-04-30 00:00:00,40.8519146,-73.896056
13,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,159,,B1,476 EAST 186 STREET,,10458.0,2.0,0.0,2.0,2033.0,2400.0,1997.0,1,B1,640000,2019-04-24 00:00:00,40.8568815,-73.8919452
14,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,110,,B1,2044 BATHGATE AVE,,10457.0,2.0,0.0,2.0,2785.0,2565.0,1998.0,1,B1,610000,2019-06-28 00:00:00,,
15,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,29,,B3,2094 WASHINGTON AVE,,10457.0,2.0,0.0,2.0,2182.0,2588.0,1901.0,1,B3,450000,2019-01-31 00:00:00,,
16,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,39,,B2,2249 BASSFORD AVENUE,,10457.0,2.0,0.0,2.0,899.0,1716.0,1901.0,1,B2,500000,2019-09-19 00:00:00,40.854256,-73.8932906
17,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,40,,B2,493 FLETCHER PLACE,,10457.0,2.0,0.0,2.0,1637.0,1972.0,1901.0,1,B2,410000,2019-02-18 00:00:00,40.8542588,-73.8933701
18,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183 STREET,,10458.0,2.0,0.0,2.0,1316.0,2112.0,1901.0,1,B2,477134,2019-08-01 00:00:00,40.8546888,-73.8923862
19,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457.0,2.0,0.0,2.0,1960.0,2278.0,1901.0,1,B2,360000,2019-08-19 00:00:00,40.8536275,-73.8933278
